Unix	jday	U-component_of_wind
1100973600	325	4.03629885145107
1100977200	325	4.70920525616156
1100980800	325	4.94614332675325
1100984400	325	4.0518480529323
1100988000	325	2.29326321383644
1100991600	325	0.425675763048999
1100995200	326	-2.88950264082225
1100998800	326	-4.06729138967162
1101002400	326	-5.18247429796913
1101006000	326	-5.97092664869941
1101009600	326	-6.0452990935215
1101013200	326	-6.08204899872971
1101016800	326	-6.14438537291214
1101020400	326	-5.15426264579988
1101024000	326	-3.89669570282234
1101027600	326	-2.53284408339718
1101031200	326	-1.16947226492738
1101034800	326	-0.034082806466497
1101038400	326	0.120092456246157
1101042000	326	0.981360687992733
1101045600	326	1.76423905652111
1101049200	326	2.38382572971805
1101052800	326	2.50824306178883
1101056400	326	2.59586015858712
1101060000	326	0.132930907505509
1101063600	326	1.10005224297582
1101067200	326	1.53560695848506
1101070800	326	1.84758373350275
1101074400	326	1.30228462465874
1101078000	326	0.714155096684723
1101081600	327	-2.41895576705838
1101085200	327	-2.36667297361184
1101088800	327	-1.0977973607171
1101092400	327	0.727433650152522
1101096000	327	2.05411637395108
1101099600	327	3.16811328207003
1101103200	327	2.71652429661086
1101106800	327	3.80741508461571
1101110400	327	4.60868899762557
1101114000	327	5.1978343353887
1101117600	327	4.88147232386626
1101121200	327	4.36222563133406
1101124800	327	4.80446944940182
1101128400	327	3.51989280056609
1101132000	327	2.64599203818666
1101135600	327	2.67992054542512
1101139200	327	2.59105474746109
1101142800	327	2.29906896091346
1101146400	327	3.29924973772986
1101150000	327	3.32499530800103
1101153600	327	2.60196435231583
1101157200	327	1.9768977575926
1101160800	327	1.36851044373714
1101164400	327	0.674065079537869
1101168000	328	-2.36494900811614
1101171600	328	-2.44166457466985
1101175200	328	-2.72650584754447
1101178800	328	-3.19443251422491
1101182400	328	-3.51469493413459
1101186000	328	-3.45986503546886
1101189600	328	-2.31647212816305
1101193200	328	-2.1963344143323
1101196800	328	-1.84763744747789
1101200400	328	-1.07423539183671
1101204000	328	-0.241536784435245
1101207600	328	0.367570408960044
1101211200	328	1.044070955295
1101214800	328	3.50019812129708
1101218400	328	5.00595881045856
1101222000	328	5.79805771656615
1101225600	328	6.17622682901505
1101229200	328	6.85025340886889
1101232800	328	8.04086566869363
1101236400	328	11.1966363982454
