Unix	jday	Downward_Long-Wave_Rad_Flux
951303600	54	317.715640337171
951307200	54	300.830835793448
951310800	54	301.095375164651
951314400	54	301.324151180789
951318000	54	300.85854811764
951321600	54	300.165752474891
951325200	54	299.646920367218
951328800	54	298.586348873525
951332400	54	299.035722897539
951336000	54	296.291947729817
951339600	54	294.861407940415
951343200	54	296.807582355154
951346800	54	300.108469650298
951350400	55	341.482969943599
951354000	55	345.946405146453
951357600	55	365.37566778848
951361200	55	371.128918201648
951364800	55	367.364888585725
951368400	55	360.937075482845
951372000	55	338.462658982434
951375600	55	334.579184819806
951379200	55	349.410817892251
951382800	55	352.167455984116
951386400	55	349.016583930434
951390000	55	344.284573361606
951393600	55	329.180362563872
951397200	55	328.480516116381
951400800	55	332.966624691122
951404400	55	332.099952564879
951408000	55	336.834712059278
951411600	55	342.514780405635
951415200	55	357.645203090793
951418800	55	357.6638754217
951422400	55	342.566433575262
951426000	55	339.425585770075
951429600	55	339.306595532113
951433200	55	340.429784057565
951436800	56	341.094562144396
951440400	56	340.21003128251
951444000	56	339.176320093842
951447600	56	337.879013395792
951451200	56	336.145686190817
951454800	56	334.221998565923
951458400	56	319.052672465223
951462000	56	317.479463209981
951465600	56	314.97594054647
951469200	56	328.41173679534
951472800	56	338.925111966233
951476400	56	345.645650300377
951480000	56	366.307362011318
951483600	56	365.88447302674
951487200	56	368.656791470623
951490800	56	369.493340728242
951494400	56	369.463273904734
951498000	56	368.971273001271
951501600	56	366.7817200309
951505200	56	366.006009743781
951508800	56	364.791584102381
951512400	56	362.583607283513
951516000	56	361.565392902389
951519600	56	362.17529049072
951523200	57	370.397636213737
951526800	57	370.165976173224
951530400	57	370.894028021455
951534000	57	371.160484338335
951537600	57	369.2238342986
951541200	57	368.87822735417
951544800	57	352.385303683623
951548400	57	351.808290085597
951552000	57	351.730119485001
951555600	57	349.874323735683
951559200	57	344.259060454606
951562800	57	336.587239361629
951566400	57	302.297431196668
951570000	57	303.306684891747
951573600	57	303.891624326977
951577200	57	303.93260734784
951580800	57	304.34977761888
951584400	57	306.152797620163
951588000	57	324.954921667051
951591600	57	326.859182272087
951595200	57	332.593928827107
951598800	57	341.958662198526
951602400	57	347.812022001516
951606000	57	351.037530885991
951609600	58	380.404161276299
951613200	58	382.905749254489
951616800	58	378.965657309319
951620400	58	376.637767534735
951624000	58	373.156443723623
951627600	58	369.827713469972
951631200	58	332.167723868927
951634800	58	327.620479259619
951638400	58	320.226870692231
951642000	58	313.921863287709
951645600	58	308.596236935402
951649200	58	304.214044757516
951652800	58	285.576088423188
951656400	58	284.470167579505
951660000	58	283.172094745088
951663600	58	282.853186081355
951667200	58	282.628717995186
951670800	58	282.602496147425
951674400	58	284.447046260813
951678000	58	284.893101980371
951681600	58	287.690232876647
951685200	58	291.749932497102
951688800	58	295.975796441749
951692400	58	299.973451262306
951696000	59	319.186746515628
951699600	59	319.705184488947
951703200	59	320.013185360743
951706800	59	320.208298917842
951710400	59	319.90006166069
951714000	59	319.115198394202
951717600	59	307.200979309561
951721200	59	305.600583535771
951724800	59	303.880206634275
951728400	59	303.40789725252
951732000	59	303.37504284095
951735600	59	303.487816047547
951739200	59	300.59528249668
951742800	59	300.224255552321
951746400	59	301.304691889868
951750000	59	302.230972678227
951753600	59	299.527903302265
951757200	59	296.095045692798
951760800	59	271.378910887416
951764400	59	271.289154456329
951768000	59	276.131579601094
951771600	59	281.963161477422
951775200	59	288.405512350371
951778800	59	294.799291844484
951782400	60	331.994820571378
951786000	60	334.307209370747
951789600	60	333.778219085754
951793200	60	332.134834056399
951796800	60	330.239322397873
951800400	60	328.123554207635
951804000	60	313.956095211044
951807600	60	310.352355639868
951811200	60	307.194066874617
951814800	60	311.163476129269
951818400	60	323.880641363383
951822000	60	333.223809946113
951825600	60	372.62236413745
951829200	60	372.367353900467
951832800	60	371.592526925681
951836400	60	370.902638803009
951840000	60	370.347327648916
951843600	60	369.995618654585
951847200	60	365.922471492763
951850800	60	365.772257893902
951854400	60	365.902291416188
951858000	60	366.091212661522
951861600	60	366.596954553221
951865200	60	366.70649329537
