Unix	jday	V.component_of_wind
1065765600	283	0.479157673683288
1065769200	283	0.843764879111922
1065772800	283	1.1222032100389
1065776400	283	1.0222023490092
1065780000	283	0.511687005394993
1065783600	283	0.0629587106499708
1065787200	283	-0.1216765856227
1065790800	283	-0.205019364471242
1065794400	283	-0.360294406252889
1065798000	283	-0.865131145483446
1065801600	283	-0.797073687757483
1065805200	283	-0.649548270528036
1065808800	283	-1.02556750227124
1065812400	283	-0.235552191635463
1065816000	283	-0.719221096301189
1065819600	283	-1.98302398215907
1065823200	283	-3.48116486568821
1065826800	283	-4.93370436588104
1065830400	284	-9.25591294519944
1065834000	284	-8.50416980233505
1065837600	284	-7.73869793845597
1065841200	284	-6.89479036611307
1065844800	284	-6.13067745429094
1065848400	284	-5.4993222558296
1065852000	284	-5.99402012552908
1065855600	284	-5.27698872575224
1065859200	284	-4.96205229962245
1065862800	284	-4.74469820355184
1065866400	284	-4.19021045706374
1065870000	284	-3.39480707352807
1065873600	284	-2.78887131223052
1065877200	284	-1.785736285745
1065880800	284	-1.42166546851345
1065884400	284	-1.46949833107056
1065888000	284	-0.341726569232182
1065891600	284	0.863182535043126
1065895200	284	2.69300948889958
1065898800	284	3.0419469439028
1065902400	284	4.1023650885567
1065906000	284	4.14400290258725
1065909600	284	3.71364955029022
1065913200	284	3.57631455828857
1065916800	285	2.20885627022419
1065920400	285	3.17142486592173
1065924000	285	3.19487337206529
1065927600	285	2.95928279555285
1065931200	285	2.88814139794407
1065934800	285	3.1242835793294
1065938400	285	4.58010496222356
1065942000	285	4.67862550643514
1065945600	285	3.7496955031559
1065949200	285	3.28248791418967
1065952800	285	3.36337892041037
1065956400	285	3.42529601874514
1065960000	285	2.59001450655334
1065963600	285	3.12216129260232
1065967200	285	3.2429350175691
1065970800	285	3.33420328735228
1065974400	285	3.26395598765202
1065978000	285	3.2933322062823
1065981600	285	1.15324309486319
1065985200	285	2.79791094712953
1065988800	285	3.33837082234939
1065992400	285	3.30489751179916
1065996000	285	2.81406621537732
1065999600	285	2.3949672777158
1066003200	286	3.33209047953707
1066006800	286	2.58006646814174
1066010400	286	2.4061404556737
1066014000	286	2.75290369617219
1066017600	286	3.12012351788202
1066021200	286	3.43634248275354
1066024800	286	2.60602414335673
1066028400	286	3.21518805903115
1066032000	286	3.01044021430755
1066035600	286	2.43047308656519
1066039200	286	2.33739656753647
1066042800	286	2.42055409511779
1066046400	286	2.75011800532914
1066050000	286	2.84648501337277
1066053600	286	2.63242857068259
1066057200	286	2.91518884604776
1066060800	286	3.2584162404894
1066064400	286	3.31066492149979
1066068000	286	1.6438816667048
1066071600	286	1.735251094136
1066075200	286	1.18821433642429
1066078800	286	0.713617974938231
1066082400	286	0.728119540138581
1066086000	286	0.793074783485207
1066089600	287	0.396742602148793
1066093200	287	1.15077739581512
1066096800	287	1.14889801798337
1066100400	287	1.32073621384098
1066104000	287	1.77277769907035
1066107600	287	2.24237188051876
1066111200	287	2.28569622880423
1066114800	287	2.8712340070474
1066118400	287	3.38114636364465
1066122000	287	3.29536188093505
1066125600	287	2.78490800785279
1066129200	287	2.21425397068136
1066132800	287	0.858457893567161
1066136400	287	0.593855333717189
1066140000	287	0.360348547414064
1066143600	287	0.0946286342401268
1066147200	287	0.0441720847759222
1066150800	287	0.0378892923890183
1066154400	287	-0.376162061997623
1066158000	287	-0.00773395854064603
1066161600	287	0.199431976432223
1066165200	287	0.422439806881521
1066168800	287	0.547874886194371
1066172400	287	0.555569058618357
1066176000	288	-1.62709952716722
1066179600	288	-0.68192290173508
1066183200	288	0.216641452037977
1066186800	288	0.814200317482395
1066190400	288	1.38953989481512
1066194000	288	1.8635323271009
1066197600	288	0.939625977406464
1066201200	288	1.89721605696042
1066204800	288	2.24800989131473
1066208400	288	2.12488955986084
1066212000	288	1.82041832949848
1066215600	288	1.61315100753904
1066219200	288	1.26387189064984
1066222800	288	0.985651258253254
1066226400	288	0.6986122501842
1066230000	288	0.590517522441356
1066233600	288	0.664384170659391
1066237200	288	0.834079686988556
1066240800	288	2.62873550935094
1066244400	288	2.29030242688866
1066248000	288	1.7109383488659
1066251600	288	1.81039241596824
1066255200	288	2.38041141222286
1066258800	288	2.8375042960898
1066262400	289	3.65657257792532
1066266000	289	3.19332539938299
1066269600	289	2.67369996797264
1066273200	289	2.11949475435743
1066276800	289	1.91449595855358
1066280400	289	1.8516225916306
1066284000	289	1.94411052360248
1066287600	289	2.18244685702671
1066291200	289	2.34744636932933
1066294800	289	2.40259176290431
1066298400	289	2.57400229518962
1066302000	289	2.81722781631717
1066305600	289	2.19729002201749
1066309200	289	2.04782906295509
1066312800	289	1.71966214329077
1066316400	289	2.14478974470066
1066320000	289	2.53721027495449
1066323600	289	2.67216590650876
1066327200	289	4.27050040198866
1066330800	289	3.27500553068679
1066334400	289	3.09158917480708
1066338000	289	2.82386822756486
1066341600	289	2.51285915584513
1066345200	289	2.27752297971329
1066348800	290	2.34809356212479
1066352400	290	1.89364240417464
1066356000	290	1.84242358206448
1066359600	290	2.06556052485896
1066363200	290	2.19555795846973
1066366800	290	2.15484041663135
1066370400	290	1.850883824348
1066374000	290	0.84150584565632
1066377600	290	0.488229930376891
1066381200	290	0.47873894690524
1066384800	290	0.508329431402928
1066388400	290	0.579544788762669
1066392000	290	0.244063604568985
1066395600	290	0.438718137352153
1066399200	290	0.545192711583109
1066402800	290	0.764637623401306
1066406400	290	1.34071036788023
1066410000	290	1.89986727100142
1066413600	290	0.870460573520831
1066417200	290	1.99535071371946
1066420800	290	2.86691933762789
1066424400	290	3.46706595946759
1066428000	290	3.64782845825857
1066431600	290	3.66511817376588
1066435200	291	3.59611375037061
1066438800	291	3.35666024772815
1066442400	291	3.38275805684385
1066446000	291	3.37171535614679
1066449600	291	3.25089801503593
1066453200	291	3.17983090599858
1066456800	291	1.7723485555682
1066460400	291	1.20618416038887
1066464000	291	1.34858123413608
1066467600	291	1.62794893216562
1066471200	291	1.78771816250827
1066474800	291	1.93870803538577
1066478400	291	2.33802054070457
1066482000	291	2.38009252431846
1066485600	291	2.3118650842865
1066489200	291	2.05318212658187
1066492800	291	1.94329581110776
1066496400	291	1.85281005811458
1066500000	291	2.83351608700218
1066503600	291	3.33767760923473
1066507200	291	3.76990277147903
1066510800	291	3.65874363459693
1066514400	291	3.53900985640586
1066518000	291	3.30961106636054
1066521600	292	3.74647734756265
1066525200	292	2.84451106535317
1066528800	292	2.38972311118526
1066532400	292	2.12891467410875
1066536000	292	2.25342664853335
1066539600	292	2.32272814504881
1066543200	292	2.13135387081558
1066546800	292	2.07667176930984
1066550400	292	2.20286161548027
1066554000	292	2.31671435399791
1066557600	292	2.23163601651024
1066561200	292	2.1541925944624
1066564800	292	0.510208671635868
1066568400	292	0.340457599358136
1066572000	292	0.35757302094995
1066575600	292	0.265122181059447
1066579200	292	0.0609770058448451
1066582800	292	-0.131575457704972
1066586400	292	-0.200384050234362
1066590000	292	-0.211805231736654
1066593600	292	-0.092862908481534
1066597200	292	0.0981704372399987
1066600800	292	0.0370860692389189
1066604400	292	-0.0532202757748926
1066608000	293	1.24769638882988
1066611600	293	0.359292214219464
1066615200	293	0.175038728955162
1066618800	293	0.348405423443534
1066622400	293	0.258646430190042
1066626000	293	0.0527315208557971
1066629600	293	-0.525723437480072
1066633200	293	-0.810140200041904
1066636800	293	-1.02289049576732
1066640400	293	-1.22044684473089
1066644000	293	-1.53403515803717
1066647600	293	-1.88588055273031
1066651200	293	-2.78005527860694
1066654800	293	-2.00618880193352
1066658400	293	-1.96192742202496
1066662000	293	-2.09499920359546
1066665600	293	-2.47891002691819
1066669200	293	-2.86193238478135
1066672800	293	-3.42431205601518
1066676400	293	-3.41567673809918
1066680000	293	-3.52495926662679
1066683600	293	-3.49645576953373
1066687200	293	-3.27945811709733
1066690800	293	-3.11814886378807
1066694400	294	-4.62214978165805
1066698000	294	-3.50932350957624
1066701600	294	-3.16098831583694
1066705200	294	-2.936882196489
1066708800	294	-2.62672258594489
1066712400	294	-2.34156956086158
1066716000	294	-1.13985872010025
1066719600	294	-1.2938267119749
1066723200	294	-1.38872984814371
1066726800	294	-1.51620261080739
1066730400	294	-1.42654872891959
1066734000	294	-1.41403032702085
1066737600	294	-1.37262857406074
1066741200	294	-1.94989675165949
1066744800	294	-2.24946731801057
1066748400	294	-2.18322888730938
1066752000	294	-2.12291216069655
1066755600	294	-2.13651415938873
1066759200	294	-2.71443122810084
1066762800	294	-2.91795611441932
1066766400	294	-3.22175480611358
1066770000	294	-3.35543985115351
1066773600	294	-3.33691900583643
